Timestamp(ms),Current(uA),D0-D7
2960,748.625,00000000
2970,737.752,00000000
2980,750.258,00000000
2990,740.465,00000000
3000,753.163,00000000
3010,742.145,00000000
3020,755.076,00000000
3030,743.312,00000000
3040,755.751,00000000
3050,743.554,00000000
3060,754.591,00000000
3070,742.322,00000000
3080,753.547,00000000
3090,741.554,00000000
3100,752.315,00000000
3110,740.817,00000000
3120,751.336,00000000
3130,739.801,00000000
3140,750.555,00000000
3150,739.859,00000000
3160,750.277,00000000
3170,739.001,00000000
3180,749.077,00000000
3190,738.499,00000000
3200,748.412,00000000
3210,738.037,00000000
3220,746.636,00000000
3230,737.392,00000000
3240,746.155,00000000
3250,736.214,00000000
3260,744.203,00000000
3270,734.597,00000000
3280,742.198,00000000
3290,733.392,00000000
3300,740.432,00000000
3310,732.043,00000000
3320,738.555,00000000
3330,730.824,00000000
3340,737.997,00000000
3350,729.928,00000000
3360,737.986,00000000
3370,730.399,00000000
3380,738.346,00000000
3390,730.919,00000000
3400,739.393,00000000
3410,732.575,00000000
3420,741.302,00000000
3430,733.011,00000000
3440,742.794,00000000
3450,734.332,00000000
3460,744.891,00000000
3470,736.726,00000000
3480,749.051,00000000
3490,739.467,00000000
3500,753.374,00000000
3510,743.341,00000000
3520,757.889,00000000
3530,746.203,00000000
3540,761.141,00000000
3550,748.541,00000000
3560,763.080,00000000
3570,748.494,00000000
3580,762.779,00000000
3590,749.194,00000000
3600,761.134,00000000
3610,746.688,00000000
3620,757.931,00000000
3630,744.109,00000000
3640,753.728,00000000
3650,741.092,00000000
3660,749.296,00000000
3670,737.628,00000000
3680,744.135,00000000
3690,733.208,00000000
3700,738.969,00000000
3710,730.738,00000000
3720,737.533,00000000
3730,730.557,00000000
3740,737.817,00000000
3750,731.126,00000000
3760,739.626,00000000
3770,732.565,00000000
3780,741.779,00000000
3790,733.302,00000000
3800,740.984,00000000
3810,732.555,00000000
3820,740.177,00000000
3830,731.363,00000000
3840,737.423,00000000
3850,729.492,00000000
3860,732.624,00000000
3870,726.259,00000000
3880,730.444,00000000
3890,726.046,00000000
3900,730.312,00000000
3910,725.376,00000000
3920,731.517,00000000
3930,727.533,00000000
3940,735.147,00000000
3950,729.604,00000000
3960,738.135,00000000
3970,731.438,00000000
3980,740.905,00000000
3990,732.871,00000000
4000,741.283,00000000
4010,732.309,00000000
4020,739.402,00000000
4030,730.211,00000000
4040,735.784,00000000
4050,728.146,00000000
4060,735.837,00000000
4070,728.589,00000000
4080,734.740,00000000
4090,727.915,00000000
4100,735.057,00000000
4110,729.024,00000000
4120,737.902,00000000
4130,730.713,00000000
4140,739.542,00000000
4150,731.729,00000000
4160,739.473,00000000
4170,731.911,00000000
4180,740.138,00000000
4190,731.536,00000000
4200,738.092,00000000
4210,730.783,00000000
4220,736.283,00000000
4230,729.105,00000000
4240,735.401,00000000
4250,729.492,00000000
4260,735.974,00000000
4270,728.939,00000000
4280,735.344,00000000
4290,727.979,00000000
4300,734.651,00000000
4310,728.088,00000000
4320,734.363,00000000
4330,727.101,00000000
4340,732.732,00000000
4350,727.575,00000000
4360,732.650,00000000
4370,725.657,00000000
4380,730.693,00000000
4390,724.983,00000000
4400,729.122,00000000
4410,724.135,00000000
4420,728.205,00000000
4430,723.727,00000000
4440,727.587,00000000
4450,722.842,00000000
4460,727.869,00000000
4470,723.618,00000000
4480,727.952,00000000
4490,723.565,00000000
4500,729.481,00000000
4510,725.150,00000000
4520,730.886,00000000
4530,726.589,00000000
4540,732.466,00000000
4550,727.158,00000000
