Timestamp(ms),Current(uA),D0-D7
2730,1023.894,00000000
2740,1015.727,00000000
2750,1018.308,00000000
2760,1011.990,00000000
2770,1015.981,00000000
2780,1012.058,00000000
2790,1016.950,00000000
2800,1011.902,00000000
2810,1017.390,00000000
2820,1011.350,00000000
2830,1017.315,00000000
2840,1011.442,00000000
2850,1017.745,00000000
2860,1012.456,00000000
2870,1018.815,00000000
2880,1012.403,00000000
2890,1017.667,00000000
2900,1011.628,00000000
2910,1017.214,00000000
2920,1013.938,00000000
2930,1018.303,00000000
2940,1012.645,00000000
2950,1017.978,00000000
2960,1011.810,00000000
2970,1017.557,00000000
2980,1012.229,00000000
2990,1017.850,00000000
3000,1011.595,00000000
3010,1017.552,00000000
3020,1011.877,00000000
3030,1017.653,00000000
3040,1011.496,00000000
3050,1017.092,00000000
3060,1011.224,00000000
3070,1016.919,00000000
3080,1011.036,00000000
3090,1017.307,00000000
3100,1011.274,00000000
3110,1017.272,00000000
3120,1011.609,00000000
3130,1018.642,00000000
3140,1012.617,00000000
3150,1018.678,00000000
3160,1013.288,00000000
3170,1019.963,00000000
3180,1017.098,00000000
3190,1020.691,00000000
3200,1014.044,00000000
3210,1019.828,00000000
3220,1013.767,00000000
3230,1019.014,00000000
3240,1012.520,00000000
3250,1018.315,00000000
3260,1013.401,00000000
3270,1018.800,00000000
3280,1013.158,00000000
3290,1018.198,00000000
3300,1012.806,00000000
3310,1018.173,00000000
3320,1012.117,00000000
3330,1017.877,00000000
3340,1012.310,00000000
3350,1017.553,00000000
3360,1012.591,00000000
3370,1020.878,00000000
3380,1015.103,00000000
3390,1025.320,00000000
3400,1018.504,00000000
3410,1028.547,00000000
3420,1020.682,00000000
3430,1031.452,00000000
3440,1022.750,00000000
3450,1035.041,00000000
3460,1024.527,00000000
3470,1034.513,00000000
3480,1023.558,00000000
3490,1033.040,00000000
3500,1023.311,00000000
3510,1032.775,00000000
3520,1022.857,00000000
3530,1031.333,00000000
3540,1021.489,00000000
3550,1029.187,00000000
3560,1019.725,00000000
3570,1027.183,00000000
3580,1018.487,00000000
3590,1025.881,00000000
3600,1017.450,00000000
3610,1024.802,00000000
3620,1017.000,00000000
3630,1024.841,00000000
3640,1016.648,00000000
3650,1023.665,00000000
3660,1015.123,00000000
3670,1023.699,00000000
3680,1016.046,00000000
3690,1022.017,00000000
3700,1013.933,00000000
3710,1023.683,00000000
3720,1014.386,00000000
3730,1019.365,00000000
3740,1010.583,00000000
3750,1014.208,00000000
3760,1007.645,00000000
3770,1011.939,00000000
3780,1005.621,00000000
3790,1009.095,00000000
3800,1003.685,00000000
3810,1005.838,00000000
3820,1001.049,00000000
3830,1004.933,00000000
3840,1000.037,00000000
3850,1004.559,00000000
3860,1000.000,00000000
3870,1004.610,00000000
3880,998.604,00000000
3890,1005.183,00000000
3900,999.741,00000000
3910,1005.669,00000000
3920,999.062,00000000
3930,1006.198,00000000
3940,999.910,00000000
3950,1005.163,00000000
3960,997.445,00000000
3970,1002.536,00000000
3980,997.396,00000000
3990,1000.061,00000000
4000,993.952,00000000
4010,997.331,00000000
4020,991.592,00000000
4030,996.408,00000000
4040,991.305,00000000
4050,997.247,00000000
4060,991.573,00000000
4070,998.301,00000000
4080,992.367,00000000
4090,999.956,00000000
4100,993.165,00000000
4110,1001.512,00000000
4120,994.934,00000000
4130,1002.122,00000000
4140,993.352,00000000
4150,999.216,00000000
4160,991.821,00000000
4170,996.858,00000000
4180,989.894,00000000
4190,994.248,00000000
4200,988.186,00000000
4210,992.302,00000000
4220,986.530,00000000
4230,991.086,00000000
4240,988.434,00000000
4250,991.371,00000000
4260,985.693,00000000
4270,990.693,00000000
4280,985.432,00000000
4290,991.319,00000000
4300,985.763,00000000
4310,991.222,00000000
4320,985.959,00000000
4330,992.440,00000000
4340,985.922,00000000
4350,992.140,00000000
4360,985.877,00000000
4370,991.648,00000000
4380,984.351,00000000
4390,989.662,00000000
4400,983.643,00000000
4410,987.316,00000000
4420,982.112,00000000
4430,986.327,00000000
4440,981.945,00000000
4450,988.079,00000000
4460,982.801,00000000
4470,988.526,00000000
4480,983.489,00000000
4490,988.948,00000000
4500,986.324,00000000
4510,990.935,00000000
4520,984.956,00000000
4530,991.252,00000000
4540,985.045,00000000
4550,990.794,00000000
4560,985.308,00000000
4570,992.030,00000000
4580,985.294,00000000
4590,990.875,00000000
4600,983.909,00000000
4610,990.182,00000000
4620,984.390,00000000
4630,991.368,00000000
4640,985.515,00000000
4650,991.918,00000000
4660,985.837,00000000
4670,993.431,00000000
4680,986.781,00000000
4690,994.663,00000000
4700,987.416,00000000
4710,994.617,00000000
4720,988.196,00000000
4730,994.238,00000000
4740,987.521,00000000
4750,993.945,00000000
4760,987.908,00000000
4770,994.865,00000000
4780,987.278,00000000
4790,992.261,00000000
4800,986.087,00000000
4810,990.610,00000000
4820,985.563,00000000
4830,990.523,00000000
4840,985.273,00000000
4850,990.618,00000000
4860,986.372,00000000
4870,992.231,00000000
4880,986.849,00000000
4890,993.825,00000000
4900,987.917,00000000
4910,995.987,00000000
4920,989.120,00000000
4930,995.235,00000000
4940,988.250,00000000
4950,995.011,00000000
4960,987.872,00000000
4970,994.032,00000000
4980,986.912,00000000
4990,991.571,00000000
5000,984.791,00000000
5010,990.092,00000000
5020,984.053,00000000
5030,992.487,00000000
5040,985.211,00000000
5050,989.166,00000000
5060,983.613,00000000
5070,988.668,00000000
5080,983.064,00000000
5090,989.499,00000000
5100,984.573,00000000
5110,990.072,00000000
5120,984.094,00000000
5130,990.330,00000000
5140,984.145,00000000
5150,990.665,00000000
5160,984.165,00000000
5170,989.351,00000000
5180,983.035,00000000
5190,988.403,00000000
5200,981.857,00000000
5210,985.762,00000000
5220,979.893,00000000
5230,984.365,00000000
5240,978.139,00000000
5250,983.236,00000000
5260,977.748,00000000
5270,982.257,00000000
5280,977.004,00000000
5290,981.001,00000000
5300,976.891,00000000
5310,980.180,00000000
5320,1036.691,00000000
5330,1014.742,00000000
5340,998.325,00000000
5350,1003.131,00000000
5360,994.826,00000000
5370,1001.166,00000000
5380,1024.349,00000000
5390,1052.131,00000000
5400,1013.058,00000000
5410,1005.069,00000000
5420,994.832,00000000
5430,999.423,00000000
5440,989.519,00000000
5450,1015.862,00000000
5460,1043.605,00000000
5470,1021.817,00000000
5480,998.963,00000000
5490,1000.025,00000000
5500,992.789,00000000
5510,997.162,00000000
5520,999.930,00000000
5530,1056.936,00000000
5540,1021.760,00000000
5550,1006.174,00000000
5560,987.657,00000000
5570,995.224,00000000
5580,990.738,00000000
5590,997.244,00000000
5600,1040.771,00000000
5610,1043.775,00000000
5620,1002.620,00000000
5630,999.993,00000000
5640,991.776,00000000
5650,995.714,00000000
5660,987.723,00000000
5670,1034.934,00000000
5680,1038.483,00000000
5690,1009.487,00000000
5700,994.302,00000000
5710,998.977,00000000
5720,991.213,00000000
5730,993.936,00000000
5740,1019.009,00000000
5750,1046.936,00000000
5760,1008.044,00000000
5770,1000.746,00000000
5780,991.385,00000000
5790,998.500,00000000
5800,990.324,00000000
5810,1016.733,00000000
5820,1045.655,00000000
5830,1022.882,00000000
5840,999.720,00000000
5850,1002.851,00000000
5860,993.927,00000000
5870,999.065,00000000
5880,995.833,00000000
5890,1056.510,00000000
5900,1030.701,00000000
5910,1006.212,00000000
5920,993.295,00000000
5930,997.053,00000000
5940,990.736,00000000
5950,993.431,00000000
5960,1039.865,00000000
5970,1044.561,00000000
5980,1004.699,00000000
5990,1002.078,00000000
6000,994.653,00000000
6010,1000.164,00000000
6020,991.174,00000000
6030,1037.108,00000000
6040,1039.369,00000000
6050,1008.995,00000000
6060,991.143,00000000
6070,988.829,00000000
6080,983.206,00000000
6090,979.946,00000000
6100,1008.428,00000000
6110,1028.725,00000000
6120,996.008,00000000
6130,981.887,00000000
6140,977.325,00000000
6150,976.921,00000000
6160,974.080,00000000
6170,992.197,00000000
6180,1025.475,00000000
6190,999.736,00000000
6200,979.275,00000000
6210,974.341,00000000
6220,971.951,00000000
6230,972.753,00000000
6240,975.226,00000000
6250,1033.597,00000000
6260,1003.005,00000000
6270,984.749,00000000
6280,977.118,00000000
6290,980.886,00000000
6300,976.020,00000000
6310,980.083,00000000
6320,1030.081,00000000
6330,1029.883,00000000
6340,988.005,00000000
6350,980.615,00000000
6360,976.166,00000000
6370,977.749,00000000
6380,971.818,00000000
6390,1015.695,00000000
6400,1023.015,00000000
6410,991.639,00000000
6420,976.417,00000000
6430,978.899,00000000
6440,974.525,00000000
6450,976.492,00000000
6460,1002.007,00000000
6470,1029.136,00000000
6480,993.131,00000000
6490,982.967,00000000
6500,974.002,00000000
6510,976.672,00000000
6520,968.538,00000000
6530,990.065,00000000
6540,1023.737,00000000
6550,1000.816,00000000
6560,978.990,00000000
6570,978.320,00000000
6580,974.293,00000000
6590,978.829,00000000
6600,979.099,00000000
6610,1039.315,00000000
6620,1014.206,00000000
6630,990.684,00000000
6640,978.589,00000000
6650,983.378,00000000
6660,976.616,00000000
6670,980.413,00000000
6680,1024.736,00000000
6690,1028.872,00000000
6700,987.462,00000000
6710,982.904,00000000
6720,974.658,00000000
6730,977.237,00000000
6740,968.100,00000000
6750,1008.332,00000000
6760,1006.104,00000000
6770,967.197,00000000
6780,942.490,00000000
6790,938.681,00000000
6800,925.755,00000000
6810,925.227,00000000
6820,943.619,00000000
6830,969.363,00000000
6840,930.401,00000000
6850,919.231,00000000
6860,906.534,00000000
6870,907.056,00000000
6880,892.174,00000000
6890,906.554,00000000
6900,929.792,00000000
6910,902.776,00000000
6920,875.152,00000000
6930,875.085,00000000
6940,868.105,00000000
6950,871.707,00000000
6960,870.745,00000000
6970,929.000,00000000
