Timestamp(ms),Current(uA),D0-D7
2960,732.607,00000000
2970,732.178,00000000
2980,786.911,00000000
2990,754.356,00000000
3000,743.066,00000000
3010,732.473,00000000
3020,734.862,00000000
3030,726.664,00000000
3040,732.467,00000000
3050,757.773,00000000
3060,782.577,00000000
3070,742.995,00000000
3080,741.201,00000000
3090,729.091,00000000
3100,732.506,00000000
3110,726.448,00000000
3120,732.204,00000000
3130,777.436,00000000
3140,771.273,00000000
3150,738.406,00000000
3160,738.556,00000000
3170,729.109,00000000
3180,732.655,00000000
3190,725.716,00000000
3200,754.581,00000000
3210,776.881,00000000
3220,752.826,00000000
3230,737.059,00000000
3240,736.643,00000000
3250,728.109,00000000
3260,732.930,00000000
3270,726.308,00000000
3280,778.109,00000000
3290,776.729,00000000
3300,744.977,00000000
3310,734.546,00000000
3320,735.361,00000000
3330,726.763,00000000
3340,732.021,00000000
3350,741.650,00000000
3360,783.634,00000000
3370,746.564,00000000
3380,741.841,00000000
3390,731.745,00000000
3400,734.784,00000000
3410,726.465,00000000
3420,732.139,00000000
3430,764.806,00000000
3440,777.666,00000000
3450,737.917,00000000
3460,739.878,00000000
3470,728.991,00000000
3480,733.026,00000000
3490,726.481,00000000
3500,739.971,00000000
3510,780.090,00000000
3520,757.255,00000000
3530,736.737,00000000
3540,738.674,00000000
3550,729.317,00000000
3560,733.223,00000000
3570,726.716,00000000
3580,764.695,00000000
3590,778.572,00000000
3600,747.477,00000000
3610,735.616,00000000
3620,736.350,00000000
3630,728.455,00000000
3640,734.734,00000000
3650,729.855,00000000
3660,790.139,00000000
3670,764.672,00000000
3680,744.988,00000000
3690,733.212,00000000
3700,735.277,00000000
3710,727.182,00000000
3720,732.865,00000000
3730,751.574,00000000
3740,786.109,00000000
3750,744.586,00000000
3760,742.227,00000000
3770,730.819,00000000
3780,734.066,00000000
3790,727.492,00000000
3800,732.651,00000000
3810,777.803,00000000
3820,782.621,00000000
3830,739.715,00000000
3840,739.682,00000000
3850,729.153,00000000
3860,733.138,00000000
3870,726.149,00000000
3880,748.922,00000000
3890,780.287,00000000
3900,754.639,00000000
3910,735.924,00000000
3920,736.277,00000000
3930,728.406,00000000
3940,731.467,00000000
3950,725.796,00000000
3960,774.180,00000000
3970,775.271,00000000
3980,745.013,00000000
3990,733.741,00000000
4000,734.755,00000000
4010,726.675,00000000
4020,730.581,00000000
4030,734.380,00000000
4040,786.400,00000000
4050,752.589,00000000
4060,742.269,00000000
4070,731.544,00000000
